Model,label,F1,Precision,Recall,AUC_ROC,PR_AUC
RF_base,Anaemia,0.4475439660400243,0.4102279043913285,0.4923282188125417,0.7802192717227834,0.49977157990877374
RF_base,Diabetes_Risk,0.4087054833239118,0.36700507614213196,0.4610969387755102,0.8171884221514552,0.4326865423731179
RF_base,Dyslipidemia,0.4321454283657307,0.3423641808070726,0.5857526225908758,0.7182582958567897,0.47698337308862077
RF_base,Kidney_Risk,0.44967500492416784,0.36405676925530217,0.587947463301571,0.7520748763455676,0.49746323181462726
RF_base,Liver_Stress,0.5628479343685907,0.4648517846339988,0.7131984406905513,0.794749374082479,0.6355712139834129
RF_base,Thyroid_Abnormal,0.5155783891282731,0.43214335324350606,0.6389402341343191,0.7659299896549341,0.572422744522602
RF_balanced,Anaemia,0.4495872242522669,0.37827374174447737,0.5540360240160107,0.7874242201112135,0.4952548652731473
RF_balanced,Diabetes_Risk,0.41702778485852665,0.3473460721868365,0.5216836734693877,0.8422879141619211,0.4434540403438757
RF_balanced,Dyslipidemia,0.4339413632671147,0.3111628892183859,0.7167601854110759,0.7268632324803871,0.4790447021060801
RF_balanced,Kidney_Risk,0.44598225189286006,0.32607142857142857,0.7053824362606232,0.7560974046839273,0.4980979098017033
RF_balanced,Liver_Stress,0.5639375147185808,0.4885745375408052,0.6667904213848153,0.7962484877693462,0.6306231487165582
RF_balanced,Thyroid_Abnormal,0.5185392472366027,0.39320954907161804,0.7611419182583693,0.7701116509658132,0.5682265945947274
KNN,Anaemia,0.3249542200765773,0.21650399290150843,0.6511007338225484,0.6500609645102304,0.2655815313592815
KNN,Diabetes_Risk,0.2538305868748193,0.16411214953271028,0.5599489795918368,0.6763616907074262,0.18882328389442682
KNN,Dyslipidemia,0.3716245442748563,0.2488414432307183,0.7335935594047328,0.6114070926947974,0.2815684093012349
KNN,Kidney_Risk,0.37759392377593926,0.2562827948080641,0.7169714138552665,0.6386380463248453,0.2863164956760862
KNN,Liver_Stress,0.47942077415761625,0.34245703373647357,0.7989604603675515,0.676740679305672,0.42225889332871835
KNN,Thyroid_Abnormal,0.4462295638400181,0.3079325421611493,0.8100225919079893,0.6621628232731267,0.36262542630649447
SVM,Anaemia,0.33045148895292986,0.2807181161109816,0.4016010673782522,0.668391695673515,0.2717102358749176
SVM,Diabetes_Risk,0.3344262295081967,0.2765957446808511,0.42283163265306123,0.7809647039869607,0.2650434386423628
SVM,Dyslipidemia,0.3565902787914173,0.2543996667708008,0.5959990241522323,0.6023080180623898,0.2801244469228061
SVM,Kidney_Risk,0.36564779152667376,0.2681490384615385,0.574555755858872,0.6393759363849792,0.29054867480600877
SVM,Liver_Stress,0.49071533405653756,0.37388175807078955,0.7137553369222202,0.6992137213662013,0.4628332435933721
SVM,Thyroid_Abnormal,0.44564557939440735,0.3046297692655708,0.8297391661532142,0.6596549015807005,0.36784540433119106
