Model,Hamming_Loss,Subset_Accuracy,Micro_F1,Macro_F1
XGB_weighted,0.2656382819140957,0.1928096404820241,0.45435404077580155,0.4437495534068128
RF_tuned,0.27003850192509626,0.18945947297364868,0.46067808458580917,0.4463219739998414
LGBM_weighted,0.28041402070103505,0.16270813540677034,0.46066551259857663,0.44958030314142033
AdaBoost,0.4336133473340334,0.0272013600680034,0.4019081556411288,0.39288101879538934
XGB_SMOTE,0.25597946563994867,0.21541077053852692,0.4558531746031746,0.4471210376508061
