label,Model,F1,Precision,Recall,AUC_ROC
Anaemia,XGB_weighted,0.42019808410456244,0.40936412527681115,0.43162108072048033,0.7407668383043355
Anaemia,RF_tuned,0.40333707684902936,0.3885625965996909,0.41927951967978655,0.7368135037694875
Anaemia,LGBM_weighted,0.42290351668169524,0.38484682713347923,0.4693128752501668,0.7556064570859329
Anaemia,AdaBoost,0.33555859406418403,0.22109167991520934,0.6957971981320881,0.6884087460381307
Anaemia,XGB_SMOTE,0.4246411483253589,0.38482384823848237,0.47364909939959976,0.7468783082610335
Diabetes_Risk,XGB_weighted,0.40922890103217974,0.3904982618771727,0.4298469387755102,0.8056067535119956
Diabetes_Risk,RF_tuned,0.39249720044792835,0.3498003992015968,0.44706632653061223,0.8113943179138076
Diabetes_Risk,LGBM_weighted,0.42204538756262894,0.3923287671232877,0.45663265306122447,0.828417579798454
Diabetes_Risk,AdaBoost,0.3634680654119099,0.35206216377764493,0.37563775510204084,0.79653349254085
Diabetes_Risk,XGB_SMOTE,0.4173184357541899,0.371272365805169,0.4764030612244898,0.8185212164731336
Dyslipidemia,XGB_weighted,0.39986900278369086,0.3009242144177449,0.5957550622102952,0.6724620439714549
Dyslipidemia,RF_tuned,0.4100132162015082,0.30089000456412596,0.6433276408880215,0.6849602065851312
Dyslipidemia,LGBM_weighted,0.40948443959129555,0.30096308186195825,0.6404000975847768,0.6815558634488239
Dyslipidemia,AdaBoost,0.3520371044016006,0.216341586095121,0.9443766772383508,0.6108378558353702
Dyslipidemia,XGB_SMOTE,0.4068868002994261,0.30868248359414435,0.5967309099780435,0.6774170107450659
Kidney_Risk,XGB_weighted,0.42569549822964087,0.3505498167277574,0.5418490857584342,0.7077137348352696
Kidney_Risk,RF_tuned,0.43191800878477304,0.33498935415188075,0.6077774916301828,0.7299696470483408
Kidney_Risk,LGBM_weighted,0.4256480218281037,0.3423734127606208,0.5624517125933557,0.7137769264513962
Kidney_Risk,AdaBoost,0.3760388381469596,0.2762998790810157,0.588462528972444,0.6525585701833226
Kidney_Risk,XGB_SMOTE,0.42342440404919995,0.3667043740573152,0.5009013649240278,0.7095528030841555
Liver_Stress,XGB_weighted,0.5352735029712022,0.4539346168755653,0.6521254872842027,0.7510873933765276
Liver_Stress,RF_tuned,0.544428342613073,0.4620662868979803,0.6625208836086875,0.7702805077019526
Liver_Stress,LGBM_weighted,0.5354776366648261,0.42621689924184153,0.7200668275478003,0.755600328700391
Liver_Stress,AdaBoost,0.4891673746813934,0.3425808850873931,0.8550213476888806,0.7012914298604213
Liver_Stress,XGB_SMOTE,0.5342191627311295,0.469603152265691,0.6194542416929646,0.7513316293938155
Thyroid_Abnormal,XGB_weighted,0.47223233131960113,0.3657271702367531,0.6662559047032245,0.710778795723569
Thyroid_Abnormal,RF_tuned,0.49573799910273664,0.3897707231040564,0.680837954405422,0.739489597717977
Thyroid_Abnormal,LGBM_weighted,0.48192281651997293,0.35945864054135945,0.7309509139453687,0.720702776254049
Thyroid_Abnormal,AdaBoost,0.4410161360662887,0.3001855287569573,0.8307660710618197,0.6508547880442478
Thyroid_Abnormal,XGB_SMOTE,0.47623627474553176,0.3905099894847529,0.6101868966933662,0.7137314697282957
