Model,label,F1,Precision,Recall,AUC_ROC,PR_AUC
XGB_weighted,Anaemia,0.42019808410456244,0.40936412527681115,0.43162108072048033,0.7407668383043355,0.43470613256921403
XGB_weighted,Diabetes_Risk,0.40922890103217974,0.3904982618771727,0.4298469387755102,0.8056067535119956,0.41180768607825136
XGB_weighted,Dyslipidemia,0.39986900278369086,0.3009242144177449,0.5957550622102952,0.6724620439714549,0.40489319748727204
XGB_weighted,Kidney_Risk,0.42569549822964087,0.3505498167277574,0.5418490857584342,0.7077137348352696,0.4293319270815944
XGB_weighted,Liver_Stress,0.5352735029712022,0.4539346168755653,0.6521254872842027,0.7510873933765276,0.5603529752652221
XGB_weighted,Thyroid_Abnormal,0.47223233131960113,0.3657271702367531,0.6662559047032245,0.710778795723569,0.48005636826898795
RF_tuned,Anaemia,0.40333707684902936,0.3885625965996909,0.41927951967978655,0.7368135037694875,0.4093426461781211
RF_tuned,Diabetes_Risk,0.39249720044792835,0.3498003992015968,0.44706632653061223,0.8113943179138076,0.39027981246508486
RF_tuned,Dyslipidemia,0.4100132162015082,0.30089000456412596,0.6433276408880215,0.6849602065851312,0.40305799694906597
RF_tuned,Kidney_Risk,0.43191800878477304,0.33498935415188075,0.6077774916301828,0.7299696470483408,0.4535930256035829
RF_tuned,Liver_Stress,0.544428342613073,0.4620662868979803,0.6625208836086875,0.7702805077019526,0.5800154784926211
RF_tuned,Thyroid_Abnormal,0.49573799910273664,0.3897707231040564,0.680837954405422,0.739489597717977,0.5163024533539916
LGBM_weighted,Anaemia,0.42290351668169524,0.38484682713347923,0.4693128752501668,0.7556064570859329,0.4199189983379189
LGBM_weighted,Diabetes_Risk,0.42204538756262894,0.3923287671232877,0.45663265306122447,0.828417579798454,0.4026331089472163
LGBM_weighted,Dyslipidemia,0.40948443959129555,0.30096308186195825,0.6404000975847768,0.6815558634488239,0.37961141017948097
LGBM_weighted,Kidney_Risk,0.4256480218281037,0.3423734127606208,0.5624517125933557,0.7137769264513962,0.40211664175625494
LGBM_weighted,Liver_Stress,0.5354776366648261,0.42621689924184153,0.7200668275478003,0.755600328700391,0.550886848953211
LGBM_weighted,Thyroid_Abnormal,0.48192281651997293,0.35945864054135945,0.7309509139453687,0.720702776254049,0.46263763327289986
AdaBoost,Anaemia,0.33555859406418403,0.22109167991520934,0.6957971981320881,0.6884087460381307,0.30354938466433506
AdaBoost,Diabetes_Risk,0.3634680654119099,0.35206216377764493,0.37563775510204084,0.79653349254085,0.3184629341065053
AdaBoost,Dyslipidemia,0.3520371044016006,0.216341586095121,0.9443766772383508,0.6108378558353702,0.2887293480622371
AdaBoost,Kidney_Risk,0.3760388381469596,0.2762998790810157,0.588462528972444,0.6525585701833226,0.3131350766981799
AdaBoost,Liver_Stress,0.4891673746813934,0.3425808850873931,0.8550213476888806,0.7012914298604213,0.46262202154730436
AdaBoost,Thyroid_Abnormal,0.4410161360662887,0.3001855287569573,0.8307660710618197,0.6508547880442478,0.3593294428269936
XGB_SMOTE,Anaemia,0.4246411483253589,0.38482384823848237,0.47364909939959976,0.7468783082610335,0.43452910292451974
XGB_SMOTE,Diabetes_Risk,0.4173184357541899,0.371272365805169,0.4764030612244898,0.8185212164731336,0.4239889124367362
XGB_SMOTE,Dyslipidemia,0.4068868002994261,0.30868248359414435,0.5967309099780435,0.6774170107450659,0.39568202060032315
XGB_SMOTE,Kidney_Risk,0.42342440404919995,0.3667043740573152,0.5009013649240278,0.7095528030841555,0.4228576664802341
XGB_SMOTE,Liver_Stress,0.5342191627311295,0.469603152265691,0.6194542416929646,0.7513316293938155,0.5507506641600428
XGB_SMOTE,Thyroid_Abnormal,0.47623627474553176,0.3905099894847529,0.6101868966933662,0.7137314697282957,0.4741533638797234
