Model,Hamming_Loss,Subset_Accuracy,Micro_F1,Macro_F1
RF_base,0.2454122706135307,0.3047152357617881,0.48445378151260504,0.46941603435844975
RF_balanced,0.27718885944297217,0.23256162808140407,0.48166560177032525,0.47150256437099203
KNN,0.43131323232828306,0.05265263263163158,0.394628800018715,0.37560893549997104
SVM,0.35090921212727305,0.10470523526176309,0.4066009949407404,0.38724611703836037
